"desde","hacia","tipo","origen","confianza","notas"
"/","/","301","migracion","alta","Ruta conservada idéntica en el sitio nuevo. NO necesita redirect (solo difiere la barra final)."
"/beneficios-operativos-de-los-motores-tier-4-en-maquinaria-pesada","","301","migracion","baja","HUÉRFANA: sin destino evidente en la estructura nueva. Requiere decisión humana."
"/blog-partequipos","","301","migracion","baja","HUÉRFANA: sin destino evidente en la estructura nueva. Requiere decisión humana."
"/bombas-de-alta-presion-para-que-sirven-donde-se-usan-y-que-opciones-encuentras-en-partequipos","","301","migracion","baja","HUÉRFANA: sin destino evidente en la estructura nueva. Requiere decisión humana."
"/case-construction-en-colombia-tecnologia-de-clase-mundial","","301","migracion","baja","HUÉRFANA: sin destino evidente en la estructura nueva. Requiere decisión humana."
"/case-construction-mas-de-40-anos-construyendo-obras-en-colombia","","301","migracion","baja","HUÉRFANA: sin destino evidente en la estructura nueva. Requiere decisión humana."
"/category/noticias","","301","migracion","baja","HUÉRFANA: sin destino evidente en la estructura nueva. Requiere decisión humana."
"/codigo-de-etica-partequipos","","301","migracion","baja","HUÉRFANA: sin destino evidente en la estructura nueva. Requiere decisión humana."
"/como-identificar-la-talla-de-mi-diente-o-punta","","301","migracion","baja","HUÉRFANA: sin destino evidente en la estructura nueva. Requiere decisión humana."
"/como-medir-y-sustituir-las-orugas-de-caucho","","301","migracion","baja","HUÉRFANA: sin destino evidente en la estructura nueva. Requiere decisión humana."
"/como-prepararse-para-la-transicion-a-motores-tier-4-en-colombia","","301","migracion","baja","HUÉRFANA: sin destino evidente en la estructura nueva. Requiere decisión humana."
"/competencia_nacional_de_operadores","","301","migracion","baja","HUÉRFANA: sin destino evidente en la estructura nueva. Requiere decisión humana."
"/congreso-de-alcaldes","","301","migracion","baja","HUÉRFANA: sin destino evidente en la estructura nueva. Requiere decisión humana."
"/consecuencias-de-ignorar-el-mantenimiento-en-sistemas-hidraulicos-de-maquinaria-pesada-en-colombia","","301","migracion","baja","HUÉRFANA: sin destino evidente en la estructura nueva. Requiere decisión humana."
"/consejos-esenciales-para-la-compra-maquinaria-pesada-en-colombia","","301","migracion","baja","HUÉRFANA: sin destino evidente en la estructura nueva. Requiere decisión humana."
"/contactanos","","301","migracion","baja","HUÉRFANA: sin destino evidente en la estructura nueva. Requiere decisión humana."
"/control-de-valvulas-la-maestria-en-operaciones-precisas-de-maquinaria-pesada-en-colombia","","301","migracion","baja","HUÉRFANA: sin destino evidente en la estructura nueva. Requiere decisión humana."
"/cuidado-del-motor-en-la-maquinaria-pesada-en-colombia","","301","migracion","baja","HUÉRFANA: sin destino evidente en la estructura nueva. Requiere decisión humana."
"/cuidado-del-tren-de-rodaje-en-excavadoras-y-bulldozer-guia-practica-para-reducir-costos-operativos","","301","migracion","baja","HUÉRFANA: sin destino evidente en la estructura nueva. Requiere decisión humana."
"/descubre-los-beneficios-de-usar-filtros-donaldson-en-tu-maquinaria-pesada","","301","migracion","baja","HUÉRFANA: sin destino evidente en la estructura nueva. Requiere decisión humana."
"/dientes-cuchillas-y-esquineras-pilares-de-rendimiento-en-maquinaria-pesada-colombiana","","301","migracion","baja","HUÉRFANA: sin destino evidente en la estructura nueva. Requiere decisión humana."
"/dynapac-partequipos-maquinaria-de-compactacion-y-pavimentacion","","301","migracion","baja","HUÉRFANA: sin destino evidente en la estructura nueva. Requiere decisión humana."
"/el-corazon-hidraulico-importancia-vital-de-las-bombas-en-maquinaria-pesada-en-colombia","","301","migracion","baja","HUÉRFANA: sin destino evidente en la estructura nueva. Requiere decisión humana."
"/el-origen-de-hitachi-construction-machinery","","301","migracion","baja","HUÉRFANA: sin destino evidente en la estructura nueva. Requiere decisión humana."
"/elementor-48399","","301","migracion","baja","HUÉRFANA: sin destino evidente en la estructura nueva. Requiere decisión humana."
"/excavadoras-funciones-partes-marcas","","301","migracion","baja","HUÉRFANA: sin destino evidente en la estructura nueva. Requiere decisión humana."
"/excavadoras-hitachi-en-colombia-evolucion-potencia-y-confianza-total-con-partequipos","","301","migracion","baja","HUÉRFANA: sin destino evidente en la estructura nueva. Requiere decisión humana."
"/excavadoras-repuestos-rendimiento-sinigual","","301","migracion","baja","HUÉRFANA: sin destino evidente en la estructura nueva. Requiere decisión humana."
"/excavadoras","","301","migracion","baja","HUÉRFANA: sin destino evidente en la estructura nueva. Requiere decisión humana."
"/explorando-la-importancia-del-tren-de-rodaje-en-excavadoras-y-bulldozer-maquinaria-pesada","","301","migracion","baja","HUÉRFANA: sin destino evidente en la estructura nueva. Requiere decisión humana."
"/filtros-maquinaria-amarilla-protege-tu-maquina","","301","migracion","baja","HUÉRFANA: sin destino evidente en la estructura nueva. Requiere decisión humana."
"/fuga-de-aceite-en-maquinaria-pesada-sintomas-causas-y-repuestos-hidraulicos","","301","migracion","baja","HUÉRFANA: sin destino evidente en la estructura nueva. Requiere decisión humana."
"/gracias_por_tu_confianza","","301","migracion","baja","HUÉRFANA: sin destino evidente en la estructura nueva. Requiere decisión humana."
"/gracias-a-ti","","301","migracion","baja","HUÉRFANA: sin destino evidente en la estructura nueva. Requiere decisión humana."
"/gracias-dynapac","","301","migracion","baja","HUÉRFANA: sin destino evidente en la estructura nueva. Requiere decisión humana."
"/gracias-hitachi","","301","migracion","baja","HUÉRFANA: sin destino evidente en la estructura nueva. Requiere decisión humana."
